         9799937 function calls (9765880 primitive calls) in 31.497 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   102577    0.128    0.000    0.604    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/numpy/core/fromnumeric.py:1934(any)
   170952    0.532    0.000    0.532    0.000 {method 'compress' of 'zlib.Compress' objects}
    85939    0.366    0.000    0.485    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backends/backend_pdf.py:103(fill)
  394/338    0.009    0.000    0.451    0.001 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axis.py:68(__init__)
    50008    0.136    0.000    0.441    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/numpy/core/fromnumeric.py:1778(sum)
       27    0.000    0.000    0.399    0.015 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/pyplot.py:944(gca)
       27    0.000    0.000    0.399    0.015 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/figure.py:1580(gca)
        7    0.000    0.000    0.399    0.057 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/figure.py:979(add_subplot)
        7    0.000    0.000    0.398    0.057 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axes/_subplots.py:23(__init__)
   102583    0.060    0.000    0.397    0.000 {method 'any' of 'numpy.ndarray' objects}
        7    0.001    0.000    0.396    0.057 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axes/_base.py:420(__init__)
        7    0.000    0.000    0.337    0.048 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backend_bases.py:2055(draw_idle)
   102583    0.031    0.000    0.337    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/numpy/core/_methods.py:37(_any)
   760723    0.330    0.000    0.330    0.000 {built-in method builtins.hasattr}
      408    0.003    0.000    0.329    0.001 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axis.py:267(draw)
       84    0.002    0.000    0.293    0.003 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axis.py:742(cla)
1333989/1333587    0.266    0.000    0.290    0.000 {built-in method builtins.isinstance}
       70    0.004    0.000    0.284    0.004 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axis.py:966(_update_ticks)
    50110    0.020    0.000    0.279    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/numpy/core/_methods.py:31(_sum)
   112/84    0.003    0.000    0.273    0.003 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axis.py:780(reset_ticks)
      612    0.020    0.000    0.271    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/text.py:700(draw)
    50013    0.251    0.000    0.264    0.000 /Users/BallBlueMeercat/Documents/Study/MPhil/Geraint/Cosmodels/Models/ln.py:49(lnprior)
   229338    0.258    0.000    0.258    0.000 {built-in method numpy.core.multiarray.array}
      710    0.002    0.000    0.243    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axis.py:913(iter_ticks)
     1191    0.032    0.000    0.242    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/lines.py:295(__init__)
  204/176    0.001    0.000    0.239    0.001 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axis.py:1743(_get_tick)
        5    0.000    0.000    0.222    0.044 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/pyplot.py:1477(xlabel)
       16    0.001    0.000    0.216    0.013 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/collections.py:248(draw)
  190/162    0.001    0.000    0.214    0.001 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axis.py:2092(_get_tick)
      572    0.012    0.000    0.208    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/patches.py:493(draw)
      441    0.002    0.000    0.204    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backends/backend_agg.py:137(draw_path)
      441    0.179    0.000    0.201    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        7    0.001    0.000    0.197    0.028 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axes/_base.py:966(cla)
     1048    0.028    0.000    0.190    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/text.py:284(_get_layout)
   100025    0.171    0.000    0.189    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/copy.py:66(copy)
    11140    0.185    0.000    0.186    0.000 {built-in method numpy.core.multiarray.dot}
        7    0.000    0.000    0.186    0.027 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axes/_base.py:608(_init_axis)
      580    0.006    0.000    0.182    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/text.py:898(get_window_extent)
        7    0.000    0.000    0.177    0.025 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/pyplot.py:1361(title)
     1517    0.005    0.000    0.175    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/transforms.py:2058(scale)
       70    0.002    0.000    0.175    0.002 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axis.py:1064(_get_tick_bboxes)
     1252    0.005    0.000    0.167    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backends/backend_pdf.py:1714(draw_path)
      324    0.000    0.000    0.166    0.001 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backends/backend_agg.py:116(draw_markers)
      324    0.163    0.001    0.166    0.001 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     11/8    0.000    0.000    0.149    0.019 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/__init__.py:1635(inner)
        7    0.000    0.000    0.145    0.021 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/pyplot.py:422(figure)
        7    0.000    0.000    0.144    0.021 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backend_bases.py:163(new_figure_manager)
        7    0.000    0.000    0.144    0.021 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/figure.py:276(__init__)
        2    0.000    0.000    0.141    0.071 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backends/backend_pdf.py:1722(draw_path_collection)
        2    0.005    0.002    0.141    0.071 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backend_bases.py:330(draw_path_collection)
    83272    0.139    0.000    0.139    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      998    0.001    0.000    0.138    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/patches.py:691(get_patch_transform)
      998    0.011    0.000    0.137    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/patches.py:675(_update_patch_transform)
     1113    0.003    0.000    0.137    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/patches.py:186(get_transform)
    50000    0.129    0.000    0.129    0.000 {method 'rand' of 'mtrand.RandomState' objects}
       28    0.000    0.000    0.129    0.005 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/spines.py:179(cla)
   499442    0.128    0.000    0.129    0.000 {method 'encode' of 'str' objects}
       70    0.001    0.000    0.125    0.002 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axis.py:1336(get_major_ticks)
    50414    0.078    0.000    0.124    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/numpy/core/shape_base.py:63(atleast_2d)
   156505    0.052    0.000    0.118    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/numpy/core/numeric.py:495(asanyarray)
    12500    0.008    0.000    0.117    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/emcee/sampler.py:49(random_state)
    25000    0.115    0.000    0.115    0.000 {method 'randint' of 'mtrand.RandomState' objects}
1060822/1060494    0.112    0.000    0.112    0.000 {built-in method builtins.len}
        7    0.000    0.000    0.111    0.016 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backends/backend_pdf.py:575(finalize)
    12500    0.065    0.000    0.109    0.000 {method 'get_state' of 'mtrand.RandomState' objects}
       14    0.105    0.008    0.105    0.008 {built-in method matplotlib._png.write_png}
     1279    0.104    0.000    0.104    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        7    0.000    0.000    0.103    0.015 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backends/backend_pdf.py:709(writeFonts)
        7    0.000    0.000    0.102    0.015 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backends/backend_pdf.py:896(embedTTF)
        7    0.002    0.000    0.100    0.014 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backends/backend_pdf.py:914(embedTTFType3)
    28919    0.012    0.000    0.100    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/numpy/core/numeric.py:424(asarray)
       70    0.000    0.000    0.097    0.001 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/ticker.py:1951(__call__)
       70    0.000    0.000    0.097    0.001 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/ticker.py:1955(tick_values)
      378    0.006    0.000    0.097    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backends/backend_agg.py:183(draw_text)
       70    0.004    0.000    0.095    0.001 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/ticker.py:1900(_raw_ticks)
      811    0.020    0.000    0.093    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/lines.py:655(recache)
     6309    0.007    0.000    0.091    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/transforms.py:124(invalidate)
        2    0.000    0.000    0.091    0.045 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/pyplot.py:3005(hist)
        2    0.001    0.000    0.090    0.045 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axes/_axes.py:5865(hist)
     1252    0.004    0.000    0.090    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backends/backend_pdf.py:1513(writePath)
11881/6309    0.023    0.000    0.084    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/transforms.py:135(_invalidate_internal)
       28    0.000    0.000    0.083    0.003 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/spines.py:167(register_axis)
     1536    0.002    0.000    0.083    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/markers.py:167(__init__)
        2    0.001    0.001    0.082    0.041 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axes/_axes.py:1807(bar)
     1537    0.006    0.000    0.077    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/markers.py:251(set_marker)
